Poll	Start	End	Sample	Type	MoE	Clinton	Sanders	Spread
McClatchy/MaristMcClatchy	12/3	12/9	429	RV	4.7	62	4	Clinton +51
CNN/ORCCNN/ORC	11/21	11/23	457	A	4.5	65	5	Clinton +55
QuinnipiacQuinnipiac	11/18	11/23	610	RV	4.0	57	4	Clinton +44
Rasmussen ReportsRasmussen	11/20	11/21	NA	LV	--	62	--	Clinton +45
ABC News/Wash PostABC/WP	10/9	10/12	NA	RV	--	64	1	Clinton +51
McClatchy/MaristMcClatchy	9/24	9/29	408	RV	4.9	64	4	Clinton +49
FOX NewsFOX News	7/20	7/22	438	RV	4.5	64	--	Clinton +52
CNN/ORCCNN/ORC	7/18	7/20	449	A	4.5	67	--	Clinton +57
QuinnipiacQuinnipiac	6/24	6/30	610	RV	4.0	58	--	Clinton +47
ABC News/Wash PostABC/WP	5/29	6/1	NA	RV	6.0	69	2	Clinton +57
FOX NewsFOX News	4/13	4/15	395	RV	5.0	69	--	Clinton +55
Reason-Rupe/PSRAIReason/PSRAI	3/26	3/30	NA	A	--	64	--	Clinton +53
CNN/ORCCNN/ORC	3/7	3/9	372	A	5.0	64	--	Clinton +51
PPP (D)PPP (D)	3/6	3/9	429	RV	4.7	66	--	Clinton +55
PPP (D)PPP (D)	1/23	1/26	334	RV	5.4	67	--	Clinton +60
ABC News/Wash PostABC/WP	1/20	1/23	NA	RV	5.0	73	--	Clinton +62
QuinnipiacQuinnipiac	1/15	1/19	803	RV	3.5	65	--	Clinton +57
FOX NewsFOX News	12/14	12/16	412	RV	--	68	--	Clinton +56
PPP (D)PPP (D)	12/12	12/15	453	RV	--	66	--	Clinton +56
QuinnipiacQuinnipiac	12/3	12/9	1095	RV	3.0	66	--	Clinton +58
McClatchy/MaristMcClatchy	12/3	12/5	466	RV	4.5	65	--	Clinton +53
CNN/ORCCNN/ORC	11/18	11/20	NA	RV	5.5	64	--	Clinton +52
Rasmussen ReportsRasmussen	11/7	11/8	NA	LV	--	70	--	Clinton +60
PPP (D)PPP (D)	10/29	10/31	400	RV	4.9	67	--	Clinton +55
QuinnipiacQuinnipiac	9/23	9/29	NA	RV	--	61	--	Clinton +50
CNN/ORCCNN/ORC	9/6	9/8	448	RV	4.5	65	--	Clinton +55
Rasmussen ReportsRasmussen	8/1	8/2	NA	LV	--	63	--	Clinton +51
PPP (D)PPP (D)	7/19	7/21	418	RV	4.7	52	--	Clinton +40
McClatchy/MaristMcClatchy	7/15	7/18	426	RV	4.7	63	--	Clinton +50
PPP (D)PPP (D)	5/6	5/9	589	RV	4.0	63	--	Clinton +50
QuinnipiacQuinnipiac	4/25	4/29	NA	RV	--	65	--	Clinton +52
PPP (D)PPP (D)	3/27	3/30	666	RV	3.8	64	--	Clinton +46
PPP (D)PPP (D)	1/31	2/3	416	RV	4.8	58	--	Clinton +39
PPP (D)PPP (D)	1/3	1/6	400	RV	4.9	57	--	Clinton +41
PPP (D)PPP (D)	11/30	12/2	454	RV	4.6	61	--	Clinton +49
