Poll	Start	End	Sample	Trump	Cruz	Rubio	Kasich	Carson	Spread
CBS NewsCBS News	7/29	8/2	408 RV	24	6	6	1	6	Trump +11
NBC/WSJNBC/WSJ	7/26	7/30	252 RV	19	9	5	3	10	Trump +4
QuinnipiacQuinnipiac	7/23	7/28	710 RV	20	5	6	5	6	Trump +7
RasmussenRasmussen	7/26	7/27	471 LV	26	7	5	5	5	Trump +12
CNN/ORCCNN/ORC	7/22	7/25	419 RV	18	7	6	4	4	Trump +3
PPP (D)PPP (D)	7/20	7/21	524 RV	19	4	10	3	10	Trump +2
ABC News/Wash PostABC/WP	7/16	7/19	RV	24	4	7	2	6	Trump +11
FOX NewsFOX News	7/13	7/15	389 RV	18	4	7	2	6	Trump +3
USA Today/SuffolkUSA Today	7/9	7/12	349 LV	17	6	5	1	4	Trump +3
MonmouthMonmouth	7/9	7/12	336 RV	13	9	6	1	6	Bush +2
CNN/ORCCNN/ORC	6/26	6/28	407 RV	12	3	6	2	7	Bush +7
FOX NewsFOX News	6/21	6/23	378 RV	11	4	8	2	10	Bush +4
NBC News/Wall St. JrnlNBC/WSJ	6/14	6/18	236 RV	1	4	14	1	11	Bush +5
MonmouthMonmouth	6/11	6/14	351 RV	2	5	9	1	11	Carson +1
FOX NewsFOX News	5/31	6/2	370 RV	4	8	7	2	11	Tie
CNN/ORCCNN/ORC	5/29	5/31	483 A	3	8	14	1	7	Rubio +1
ABC News/Wash PostABC/WP	5/28	5/31	362 RV	4	8	10	3	8	Tie
QuinnipiacQuinnipiac	5/19	5/26	679 RV	5	6	10	2	10	Tie
FOX NewsFOX News	5/9	5/12	432 LV	4	6	9	2	13	Tie
PPP (D)PPP (D)	5/7	5/10	685 RV	--	10	13	--	12	Walker +5
NBC News/Wall St. JrnlNBC/WSJ	4/26	4/30	251 RV	--	11	18	--	7	Bush +5
FOX NewsFOX News	4/19	4/21	383 LV	5	8	13	2	6	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	567 RV	--	9	15	2	3	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	435 A	--	7	11	2	4	Bush +5
FOX NewsFOX News	3/29	3/31	379 LV	3	10	8	1	11	Walker +3
ABC News/Wash PostABC/WP	3/26	3/29	RV	--	12	8	1	6	Bush +8
PPP (D)PPP (D)	3/26	3/31	443 RV	--	16	6	--	10	Walker +3
CNN/ORCCNN/ORC	3/13	3/15	450 A	--	4	7	2	9	Bush +3
McClatchy/MaristMcClatchy	3/1	3/4	426 RV	--	4	5	--	9	Bush +1
QuinnipiacQuinnipiac	2/26	3/2	554 RV	--	6	5	1	7	Walker +2
PPP (D)PPP (D)	2/20	2/22	316 RV	--	5	3	--	18	Walker +7
CNN/ORCCNN/ORC	2/12	2/15	RV	--	3	6	2	9	Huckabee +5
FOX NewsFOX News	1/25	1/27	394 RV	--	4	5	2	10	Bush +2
CNN/ORCCNN/ORC	12/18	12/21	453 A	--	4	5	3	7	Bush +10
ABC News/Wash PostABC/WP	12/11	12/14	410 RV	--	8	7	2	8	Bush +4
McClatchy/MaristMcClatchy	12/3	12/9	360 RV	--	5	3	3	8	Bush +4
CNN/ORCCNN/ORC	11/21	11/23	510 A	--	7	3	3	11	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	707 RV	--	5	3	2	9	Bush +3
RasmussenRasmussen	11/20	11/21	LV	--	--	--	--	--	Walker +2
ABC News/Wash PostABC/WP	10/9	10/12	RV	--	4	8	2	7	Bush +1
McClatchy/MaristMcClatchy	9/24	9/29	376 RV	--	4	6	--	--	Bush +2
McClatchy/MaristMcClatchy	8/4	8/4	342 RV	--	10	9	--	--	Tie
FOX NewsFOX News	7/20	7/22	358 RV	--	9	9	2	--	Tie
CNN/ORCCNN/ORC	7/18	7/20	470 A	--	8	6	--	--	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	620 RV	--	8	6	2	--	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	452 A	--	9	8	--	--	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	473 A	--	7	6	--	--	Tie
ABC News/Wash PostABC/WP	4/24	4/27	RV	--	7	6	1	--	Paul +1
FOX NewsFOX News	4/13	4/15	384 RV	--	7	8	--	--	Christie +1
McClatchy/MaristMcClatchy	4/7	4/10	416 RV	--	4	7	0	--	Tie
Reason-RupeReason	3/26	3/30	A	--	6	6	--	--	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	801 A	--	9	6	--	--	Tie
CNN/ORCCNN/ORC	3/7	3/9	367 A	--	8	5	--	--	Paul +5
PPP (D)PPP (D)	3/6	3/9	542 RV	--	11	6	--	--	Huckabee +3
McClatchy/MaristMcClatchy	2/4	2/9	403 RV	--	5	12	1	--	Tie
CNN/ORCCNN/ORC	1/31	2/2	RV	--	10	10	--	--	Huckabee +2
