Poll	Start	End	Trump	Carson	Rubio	Fiorina	Bush	Cruz	Kasich	Huckabee	Paul	Christie	Jindal	Santorum	Graham	Pataki	Spread
CBS NewsCBS News	7/29	8/2	24	6	6	0	13	6	1	8	4	3	2	1	0	1	Trump +11
NBC/WSJNBC/WSJ	7/26	7/30	19	10	5	0	14	9	3	6	6	3	1	1	0	0	Trump +4
QuinnipiacQuinnipiac	7/23	7/28	20	6	6	1	10	5	5	6	6	3	2	1	1	1	Trump +7
RasmussenRasmussen	7/26	7/27	26	5	5	1	10	7	5	7	3	2	2	2	1	1	Trump +12
CNN/ORCCNN/ORC	7/22	7/25	18	4	6	1	15	7	4	5	6	4	2	2	1	1	Trump +3
PPP (D)PPP (D)	7/20	7/21	19	10	10	4	12	4	3	8	4	3	1	1	0	0	Trump +2
ABC/Wash PostABC/WP	7/16	7/19	24	6	7	0	12	4	2	8	6	3	2	1	0	1	Trump +11
FOX NewsFOX News	7/13	7/15	18	6	7	1	14	4	2	4	8	3	0	2	0	0	Trump +3
USAT/SuffolkUSA Today	7/9	7/12	17	4	5	1	14	6	1	4	4	3	1	1	0	0	Trump +3
MonmouthMonmouth	7/9	7/12	13	6	6	1	15	9	1	7	6	2	2	2	0	0	Bush +2
CNN/ORCCNN/ORC	6/26	6/28	12	7	6	1	19	3	2	8	7	3	2	3	1	0	Bush +7
FOX NewsFOX News	6/21	6/23	11	10	8	3	15	4	2	6	9	2	2	3	1	1	Bush +4
NBC/WSJNBC/WSJ	6/14	6/18	1	11	14	2	22	4	1	9	7	4	0	0	1	0	Bush +5
MonmouthMonmouth	6/11	6/14	2	11	9	2	9	5	1	8	6	4	1	3	2	0	Carson +1
FOX NewsFOX News	5/31	6/2	4	11	7	2	12	8	2	6	9	5	1	2	2	2	Tie
CNN/ORCCNN/ORC	5/29	5/31	3	7	14	1	13	8	1	10	8	4	1	2	1	3	Rubio +1
ABC/Wash PostABC/WP	5/28	5/31	4	8	10	2	10	8	3	9	11	6	1	4	1	1	Tie
QuinnipiacQuinnipiac	5/19	5/26	5	10	10	2	10	6	2	10	7	4	1	0	1	0	Tie
FOX NewsFOX News	5/9	5/12	4	13	9	1	13	6	2	10	7	6	1	2	0	0	Tie
PPP (D)PPP (D)	5/7	5/10	--	12	13	--	11	10	--	12	9	5	--	--	--	--	Walker +5
NBC/WSJNBC/WSJ	4/26	4/30	--	7	18	1	23	11	--	5	11	5	--	--	--	--	Bush +5
FOX NewsFOX News	4/19	4/21	5	6	13	0	9	8	2	9	10	6	1	1	1	1	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	--	3	15	1	13	9	2	7	8	7	1	2	2	--	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	--	4	11	2	17	7	2	9	11	4	2	3	2	0	Bush +5
FOX NewsFOX News	3/29	3/31	3	11	8	1	12	10	1	10	9	4	2	2	0	1	Walker +3
