Poll	Start	End	Trump	Cruz	Rubio	Carson	Bush	Christie	Kasich	Fiorina	Paul	Huckabee	Graham	Pataki	Santorum	Spread
FOX NewsFOX News	6/21	6/23	11	4	8	10	15	2	2	3	9	6	1	1	3	Bush +4
NBC/WSJNBC/WSJ	6/14	6/18	1	4	14	11	22	4	1	2	7	9	1	0	0	Bush +5
MonmouthMonmouth	6/11	6/14	2	5	9	11	9	4	1	2	6	8	2	0	3	Carson +1
FOX NewsFOX News	5/31	6/2	4	8	7	11	12	5	2	2	9	6	2	2	2	Tie
CNN/ORCCNN/ORC	5/29	5/31	3	8	14	7	13	4	1	1	8	10	1	3	2	Rubio +1
ABC/Wash PostABC/WP	5/28	5/31	4	8	10	8	10	6	3	2	11	9	1	1	4	Tie
QuinnipiacQuinnipiac	5/19	5/26	5	6	10	10	10	4	2	2	7	10	1	0	0	Tie
FOX NewsFOX News	5/9	5/12	4	6	9	13	13	6	2	1	7	10	0	0	2	Tie
PPP (D)PPP (D)	5/7	5/10	--	10	13	12	11	5	--	--	9	12	--	--	--	Walker +5
NBC/WSJNBC/WSJ	4/26	4/30	--	11	18	7	23	5	--	1	11	5	--	--	--	Bush +5
FOX NewsFOX News	4/19	4/21	5	8	13	6	9	6	2	0	10	9	1	1	1	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	--	9	15	3	13	7	2	1	8	7	2	--	2	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	--	7	11	4	17	4	2	2	11	9	2	0	3	Bush +5
FOX NewsFOX News	3/29	3/31	3	10	8	11	12	4	1	1	9	10	0	1	2	Walker +3
ABC/Wash PostABC/WP	3/26	3/29	--	12	8	6	21	7	1	1	8	8	1	--	2	Bush +8
PPP (D)PPP (D)	3/26	3/31	--	16	6	10	17	4	--	--	10	6	--	--	--	Walker +3
CNN/ORCCNN/ORC	3/13	3/15	--	4	7	9	16	7	2	0	12	10	1	--	1	Bush +3
McClatchy/MaristMcClatchy	3/1	3/4	--	4	5	9	19	6	--	2	7	10	1	--	2	Bush +1
QuinnipiacQuinnipiac	2/26	3/2	--	6	5	7	16	8	1	--	6	8	1	--	2	Walker +2
PPP (D)PPP (D)	2/20	2/22	--	5	3	18	17	5	--	--	4	10	--	--	--	Walker +7
CNN/ORCCNN/ORC	2/12	2/15	--	3	6	9	12	7	2	1	11	17	1	--	2	Huckabee +5
FOX NewsFOX News	1/25	1/27	--	4	5	10	15	6	2	--	13	13	1	--	2	Bush +2
CNN/ORCCNN/ORC	12/18	12/21	--	4	5	7	23	13	3	--	6	6	--	--	2	Bush +10
ABC/Wash PostABC/WP	12/11	12/14	--	8	7	8	14	7	2	--	10	7	--	--	3	Bush +4
McClatchy/MaristMcClatchy	12/3	12/9	--	5	3	8	16	10	3	1	6	12	--	--	3	Bush +4
CNN/ORCCNN/ORC	11/21	11/23	--	7	3	11	14	9	3	--	8	10	--	--	2	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	--	5	3	9	14	11	2	--	8	7	--	--	2	Bush +3
RasmussenRasmussen	11/20	11/21	--	--	--	--	18	15	--	--	13	--	--	--	--	Walker +2
ABC/Wash PostABC/WP	10/9	10/12	--	4	8	7	13	8	2	--	12	12	--	--	4	Bush +1
McClatchy/MaristMcClatchy	9/24	9/29	--	4	6	--	15	12	--	--	13	--	--	--	3	Bush +2
McClatchy/MaristMcClatchy	8/4	8/4	--	10	9	--	13	13	--	--	7	--	--	--	3	Tie
FOX NewsFOX News	7/20	7/22	--	9	9	--	12	10	2	--	11	--	--	--	3	Tie
CNN/ORCCNN/ORC	7/18	7/20	--	8	6	--	8	13	--	--	12	12	--	--	3	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	--	8	6	--	10	10	2	--	11	10	--	--	2	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	--	9	8	--	12	8	--	--	14	11	--	--	4	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	--	7	6	--	13	9	--	--	13	10	--	--	2	Tie
ABC/Wash PostABC/WP	4/24	4/27	--	7	6	--	12	9	1	--	15	14	--	--	--	Paul +1
FOX NewsFOX News	4/13	4/15	--	7	8	--	14	15	--	--	14	--	--	--	5	Christie +1
McClatchy/MaristMcClatchy	4/7	4/10	--	4	7	--	13	12	0	--	12	13	--	--	3	Tie
Reason-RupeReason	3/26	3/30	--	6	6	--	11	10	--	--	11	15	--	--	--	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	--	9	6	--	11	9	--	--	13	13	--	--	3	Tie
CNN/ORCCNN/ORC	3/7	3/9	--	8	5	--	9	8	--	--	16	10	--	--	3	Paul +5
PPP (D)PPP (D)	3/6	3/9	--	11	6	--	15	14	--	--	14	18	--	--	--	Huckabee +3
McClatchy/MaristMcClatchy	2/4	2/9	--	5	12	--	8	13	1	--	9	13	--	--	2	Tie
CNN/ORCCNN/ORC	1/31	2/2	--	10	10	--	9	12	--	--	14	16	--	--	5	Huckabee +2
PPP (D)PPP (D)	1/23	1/26	--	8	8	--	14	13	--	--	11	16	--	--	--	Huckabee +2
ABC/Wash PostABC/WP	1/20	1/23	--	12	10	--	18	14	--	--	11	--	--	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	--	9	8	--	11	12	2	--	13	--	--	--	--	Paul +1
NBC/MaristNBC/Marist	1/12	1/14	--	5	7	--	8	16	--	--	9	--	--	--	5	Christie +7
FOX NewsFOX News	12/14	12/16	--	12	8	--	12	16	--	--	11	--	--	--	3	Christie +4
PPP (D)PPP (D)	12/12	12/15	--	14	7	--	10	19	--	--	11	13	--	--	--	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	--	13	7	--	11	17	2	--	14	--	--	--	--	Christie +3
McClatchy/MaristMcClatchy	12/3	12/5	--	10	7	--	10	18	--	--	12	--	--	--	4	Christie +6
CNN/ORCCNN/ORC	11/18	11/20	--	11	10	--	5	24	--	--	15	--	--	--	6	Christie +9
RasmussenRasmussen	11/7	11/8	--	12	16	--	12	22	--	--	20	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	15	10	--	14	16	--	--	16	--	--	--	5	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	10	12	--	11	13	--	--	17	--	--	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	20	10	--	11	14	--	--	17	--	--	--	3	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	7	9	--	10	17	--	--	13	--	--	--	5	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	18	--	16	21	--	--	15	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	12	10	--	13	13	--	--	16	--	--	--	4	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	--	7	12	--	10	15	--	--	9	--	--	--	2	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	7	16	--	15	15	--	--	14	--	--	--	5	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	19	--	10	14	--	--	15	--	--	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	21	--	12	15	--	--	17	--	--	--	5	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	22	--	13	13	--	--	10	11	--	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	21	--	14	14	--	--	5	15	--	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	18	--	12	14	--	--	7	11	--	--	4	Rubio +4
