Poll	Start	End	Trump	Carson	Fiorina	Rubio	Bush	Cruz	Kasich	Christie	Huckabee	Paul	Santorum	Walker	Pataki	Jindal	Graham	Spread
NBC/WSJ	6/14	6/18	1	11	2	14	22	4	1	4	9	7	0	17	0	0	1	Bush +5
Monmouth	6/11	6/14	2	11	2	9	9	5	1	4	8	6	3	10	0	1	2	Carson +1
FOX News	5/31	6/2	4	11	2	7	12	8	2	5	6	9	2	12	2	1	2	Tie
CNN/ORC	5/29	5/31	3	7	1	14	13	8	1	4	10	8	2	10	3	1	1	Rubio +1
ABC/Wash Post	5/28	5/31	4	8	2	10	10	8	3	6	9	11	4	11	1	1	1	Tie
Quinnipiac	5/19	5/26	5	10	2	10	10	6	2	4	10	7	0	10	0	1	1	Tie
FOX News	5/9	5/12	4	13	1	9	13	6	2	6	10	7	2	11	0	1	0	Tie
PPP (D)	5/7	5/10	--	12	--	13	11	10	--	5	12	9	--	18	--	--	--	Walker +5
NBC/WSJ	4/26	4/30	--	7	1	18	23	11	--	5	5	11	--	14	--	--	--	Bush +5
FOX News	4/19	4/21	5	6	0	13	9	8	2	6	9	10	1	12	1	1	1	Rubio +1
Quinnipiac	4/16	4/21	--	3	1	15	13	9	2	7	7	8	2	11	--	1	2	Rubio +2
CNN/ORC	4/16	4/19	--	4	2	11	17	7	2	4	9	11	3	12	0	2	2	Bush +5
FOX News	3/29	3/31	3	11	1	8	12	10	1	4	10	9	2	15	1	2	0	Walker +3
ABC/Wash Post	3/26	3/29	--	6	1	8	21	12	1	7	8	8	2	13	--	1	1	Bush +8
PPP (D)	3/26	3/31	--	10	--	6	17	16	--	4	6	10	--	20	--	--	--	Walker +3
CNN/ORC	3/13	3/15	--	9	0	7	16	4	2	7	10	12	1	13	--	1	1	Bush +3
McClatchy/Marist	3/1	3/4	--	9	2	5	19	4	--	6	10	7	2	18	--	--	1	Bush +1
Quinnipiac	2/26	3/2	--	7	--	5	16	6	1	8	8	6	2	18	--	2	1	Walker +2
PPP (D)	2/20	2/22	--	18	--	3	17	5	--	5	10	4	--	25	--	--	--	Walker +7
CNN/ORC	2/12	2/15	--	9	1	6	12	3	2	7	17	11	2	11	--	1	1	Huckabee +5
FOX News	1/25	1/27	--	10	--	5	15	4	2	6	13	13	2	9	--	3	1	Bush +2
CNN/ORC	12/18	12/21	--	7	--	5	23	4	3	13	6	6	2	4	--	4	--	Bush +10
ABC/Wash Post	12/11	12/14	--	8	--	7	14	8	2	7	7	10	3	7	--	3	--	Bush +4
McClatchy/Marist	12/3	12/9	--	8	1	3	16	5	3	10	12	6	3	3	--	1	--	Bush +4
CNN/ORC	11/21	11/23	--	11	--	3	14	7	3	9	10	8	2	5	--	1	--	Bush +3
Quinnipiac	11/18	11/23	--	9	--	3	14	5	2	11	7	8	2	6	--	3	--	Bush +3
Rasmussen	11/20	11/21	--	--	--	--	18	--	--	15	--	13	--	20	--	--	--	Walker +2
ABC/Wash Post	10/9	10/12	--	7	--	8	13	4	2	8	12	12	4	2	--	2	--	Bush +1
McClatchy/Marist	9/24	9/29	--	--	--	6	15	4	--	12	--	13	3	3	--	4	--	Bush +2
McClatchy/Marist	8/4	8/4	--	--	--	9	13	10	--	13	--	7	3	4	--	2	--	Tie
FOX News	7/20	7/22	--	--	--	9	12	9	2	10	--	11	3	4	--	4	--	Tie
CNN/ORC	7/18	7/20	--	--	--	6	8	8	--	13	12	12	3	5	--	--	--	Christie +1
Quinnipiac	6/24	6/30	--	--	--	6	10	8	2	10	10	11	2	8	--	1	--	Paul +1
CNN/ORC	5/29	6/1	--	--	--	8	12	9	--	8	11	14	4	5	--	--	--	Paul +2
CNN/ORC	5/2	5/4	--	--	--	6	13	7	--	9	10	13	2	7	--	--	--	Tie
ABC/Wash Post	4/24	4/27	--	--	--	6	12	7	1	9	14	15	--	5	--	2	--	Paul +1
FOX News	4/13	4/15	--	--	--	8	14	7	--	15	--	14	5	5	--	2	--	Christie +1
McClatchy/Marist	4/7	4/10	--	--	--	7	13	4	0	12	13	12	3	5	--	4	--	Tie
Reason-Rupe	3/26	3/30	--	--	--	6	11	6	--	10	15	11	--	5	--	1	--	Huckabee +4
WPA (R)	3/18	3/20	--	--	--	6	11	9	--	9	13	13	3	5	--	3	--	Tie
CNN/ORC	3/7	3/9	--	--	--	5	9	8	--	8	10	16	3	--	--	--	--	Paul +5
PPP (D)	3/6	3/9	--	--	--	6	15	11	--	14	18	14	--	5	--	4	--	Huckabee +3
McClatchy/Marist	2/4	2/9	--	--	--	12	8	5	1	13	13	9	2	7	--	--	--	Tie
CNN/ORC	1/31	2/2	--	--	--	10	9	10	--	12	16	14	5	--	--	--	--	Huckabee +2
PPP (D)	1/23	1/26	--	--	--	8	14	8	--	13	16	11	--	6	--	5	--	Huckabee +2
ABC/Wash Post	1/20	1/23	--	--	--	10	18	12	--	14	--	11	--	--	--	--	--	Bush +4
Quinnipiac	1/15	1/19	--	--	--	8	11	9	2	12	--	13	--	6	--	3	--	Paul +1
NBC/Marist	1/12	1/14	--	--	--	7	8	5	--	16	--	9	5	4	--	3	--	Christie +7
FOX News	12/14	12/16	--	--	--	8	12	12	--	16	--	11	3	6	--	--	--	Christie +4
PPP (D)	12/12	12/15	--	--	--	7	10	14	--	19	13	11	--	4	--	3	--	Christie +5
Quinnipiac	12/3	12/9	--	--	--	7	11	13	2	17	--	14	--	5	--	3	--	Christie +3
McClatchy/Marist	12/3	12/5	--	--	--	7	10	10	--	18	--	12	4	4	--	--	--	Christie +6
CNN/ORC	11/18	11/20	--	--	--	10	5	11	--	24	--	15	6	--	--	--	--	Christie +9
Rasmussen	11/7	11/8	--	--	--	16	12	12	--	22	--	20	--	5	--	--	--	Christie +2
PPP (D)	10/29	10/31	--	--	--	10	14	15	--	16	--	16	5	--	--	6	--	Tie
Quinnipiac	9/23	9/29	--	--	--	12	11	10	--	13	--	17	--	4	--	3	--	Paul +4
PPP (D)	9/25	9/26	--	--	--	10	11	20	--	14	--	17	3	3	--	4	--	Cruz +3
CNN/ORC	9/6	9/8	--	--	--	9	10	7	--	17	--	13	5	--	--	--	--	Christie +4
Rasmussen	8/1	8/2	--	--	--	18	16	--	--	21	--	15	--	6	--	--	--	Christie +3
PPP (D)	7/19	7/21	--	--	--	10	13	12	--	13	--	16	4	--	--	4	--	Paul +3
McClatchy/Marist	7/15	7/18	--	--	--	12	10	7	--	15	--	9	2	2	--	1	--	Christie +3
PPP (D)	5/6	5/9	--	--	--	16	15	7	--	15	--	14	5	--	--	3	--	Rubio +1
Quinnipiac	3/26	4/1	--	--	--	19	10	--	--	14	--	15	--	2	--	3	--	Rubio +4
PPP (D)	3/27	3/30	--	--	--	21	12	--	--	15	--	17	5	--	--	4	--	Rubio +4
PPP (D)	1/31	2/3	--	--	--	22	13	--	--	13	11	10	--	--	--	4	--	Rubio +9
PPP (D)	1/3	1/6	--	--	--	21	14	--	--	14	15	5	--	--	--	3	--	Rubio +6
PPP (D)	11/30	12/2	--	--	--	18	12	--	--	14	11	7	4	--	--	--	--	Rubio +4
