Poll	Start	End	Trump	Carson	Fiorina	Rubio	Bush	Cruz	Kasich	Huckabee	Christie	Paul	Santorum	Jindal	Graham	Pataki	Spread
FOX NewsFOX News	4/19	4/21	5	6	0	13	9	8	2	9	6	10	1	1	1	1	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	--	3	1	15	13	9	2	7	7	8	2	1	2	--	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	--	4	2	11	17	7	2	9	4	11	3	2	2	0	Bush +5
FOX NewsFOX News	3/29	3/31	3	11	1	8	12	10	1	10	4	9	2	2	0	1	Walker +3
ABC/Wash PostABC/Wash Post	3/26	3/29	--	6	1	8	21	12	1	8	7	8	2	1	1	--	Bush +8
PPP (D)PPP (D)	3/26	3/31	--	10	--	6	17	16	--	6	4	10	--	--	--	--	Walker +3
CNN/ORCCNN/ORC	3/13	3/15	--	9	0	7	16	4	2	10	7	12	1	1	1	--	Bush +3
McClatchy/MaristMcClatchy/Marist	3/1	3/4	--	9	2	5	19	4	--	10	6	7	2	--	1	--	Bush +1
QuinnipiacQuinnipiac	2/26	3/2	--	7	--	5	16	6	1	8	8	6	2	2	1	--	Walker +2
PPP (D)PPP (D)	2/20	2/22	--	18	--	3	17	5	--	10	5	4	--	--	--	--	Walker +7
CNN/ORCCNN/ORC	2/12	2/15	--	9	1	6	12	3	2	17	7	11	2	1	1	--	Huckabee +5
FOX NewsFOX News	1/25	1/27	--	10	--	5	15	4	2	13	6	13	2	3	1	--	Bush +2
CNN/ORCCNN/ORC	12/18	12/21	--	7	--	5	23	4	3	6	13	6	2	4	--	--	Bush +10
ABC/Wash PostABC/Wash Post	12/11	12/14	--	8	--	7	14	8	2	7	7	10	3	3	--	--	Bush +4
McClatchy/MaristMcClatchy/Marist	12/3	12/9	--	8	1	3	16	5	3	12	10	6	3	1	--	--	Bush +4
CNN/ORCCNN/ORC	11/21	11/23	--	11	--	3	14	7	3	10	9	8	2	1	--	--	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	--	9	--	3	14	5	2	7	11	8	2	3	--	--	Bush +3
RasmussenRasmussen	11/20	11/21	--	--	--	--	18	--	--	--	15	13	--	--	--	--	Walker +2
ABC/Wash PostABC/Wash Post	10/9	10/12	--	7	--	8	13	4	2	12	8	12	4	2	--	--	Bush +1
McClatchy/MaristMcClatchy/Marist	9/24	9/29	--	--	--	6	15	4	--	--	12	13	3	4	--	--	Bush +2
McClatchy/MaristMcClatchy/Marist	8/4	8/4	--	--	--	9	13	10	--	--	13	7	3	2	--	--	Tie
