Poll	Start	End	Trump	Carson	Rubio	Cruz	Bush	Fiorina	Huckabee	Kasich	Paul	Christie	Jindal	Santorum	Pataki	Graham	Spread
CNN/ORCCNN/ORC	11/21	11/23	--	11	3	7	14	--	10	3	8	9	1	2	--	--	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	--	9	3	5	14	--	7	2	8	11	3	2	--	--	Bush +3
RasmussenRasmussen	11/20	11/21	--	--	--	--	18	--	--	--	13	15	--	--	--	--	Walker +2
ABC/Wash PostABC/WP	10/9	10/12	--	7	8	4	13	--	12	2	12	8	2	4	--	--	Bush +1
McClatchy/MaristMcClatchy	9/24	9/29	--	--	6	4	15	--	--	--	13	12	4	3	--	--	Bush +2
McClatchy/MaristMcClatchy	8/4	8/4	--	--	9	10	13	--	--	--	7	13	2	3	--	--	Tie
FOX NewsFOX News	7/20	7/22	--	--	9	9	12	--	--	2	11	10	4	3	--	--	Tie
CNN/ORCCNN/ORC	7/18	7/20	--	--	6	8	8	--	12	--	12	13	--	3	--	--	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	--	--	6	8	10	--	10	2	11	10	1	2	--	--	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	--	--	8	9	12	--	11	--	14	8	--	4	--	--	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	--	--	6	7	13	--	10	--	13	9	--	2	--	--	Tie
ABC/Wash PostABC/WP	4/24	4/27	--	--	6	7	12	--	14	1	15	9	2	--	--	--	Paul +1
FOX NewsFOX News	4/13	4/15	--	--	8	7	14	--	--	--	14	15	2	5	--	--	Christie +1
McClatchy/MaristMcClatchy	4/7	4/10	--	--	7	4	13	--	13	0	12	12	4	3	--	--	Tie
Reason-RupeReason	3/26	3/30	--	--	6	6	11	--	15	--	11	10	1	--	--	--	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	--	--	6	9	11	--	13	--	13	9	3	3	--	--	Tie
CNN/ORCCNN/ORC	3/7	3/9	--	--	5	8	9	--	10	--	16	8	--	3	--	--	Paul +5
PPP (D)PPP (D)	3/6	3/9	--	--	6	11	15	--	18	--	14	14	4	--	--	--	Huckabee +3
McClatchy/MaristMcClatchy	2/4	2/9	--	--	12	5	8	--	13	1	9	13	--	2	--	--	Tie
CNN/ORCCNN/ORC	1/31	2/2	--	--	10	10	9	--	16	--	14	12	--	5	--	--	Huckabee +2
PPP (D)PPP (D)	1/23	1/26	--	--	8	8	14	--	16	--	11	13	5	--	--	--	Huckabee +2
ABC/Wash PostABC/WP	1/20	1/23	--	--	10	12	18	--	--	--	11	14	--	--	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	--	--	8	9	11	--	--	2	13	12	3	--	--	--	Paul +1
NBC/MaristNBC/Marist	1/12	1/14	--	--	7	5	8	--	--	--	9	16	3	5	--	--	Christie +7
FOX NewsFOX News	12/14	12/16	--	--	8	12	12	--	--	--	11	16	--	3	--	--	Christie +4
PPP (D)PPP (D)	12/12	12/15	--	--	7	14	10	--	13	--	11	19	3	--	--	--	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	--	--	7	13	11	--	--	2	14	17	3	--	--	--	Christie +3
McClatchy/MaristMcClatchy	12/3	12/5	--	--	7	10	10	--	--	--	12	18	--	4	--	--	Christie +6
CNN/ORCCNN/ORC	11/18	11/20	--	--	10	11	5	--	--	--	15	24	--	6	--	--	Christie +9
RasmussenRasmussen	11/7	11/8	--	--	16	12	12	--	--	--	20	22	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	--	10	15	14	--	--	--	16	16	6	5	--	--	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	--	12	10	11	--	--	--	17	13	3	--	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	--	10	20	11	--	--	--	17	14	4	3	--	--	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	--	9	7	10	--	--	--	13	17	--	5	--	--	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	18	--	16	--	--	--	15	21	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	--	10	12	13	--	--	--	16	13	4	4	--	--	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	--	--	12	7	10	--	--	--	9	15	1	2	--	--	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	--	16	7	15	--	--	--	14	15	3	5	--	--	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	19	--	10	--	--	--	15	14	3	--	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	21	--	12	--	--	--	17	15	4	5	--	--	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	22	--	13	--	11	--	10	13	4	--	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	21	--	14	--	15	--	5	14	3	--	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	18	--	12	--	11	--	7	14	--	4	--	--	Rubio +4
