Poll	Start	End	Sample	Type	MoE	Clinton	Sanders	O'Malley	Spread
RCP Average	11/23	12/6	NA	--	--	56.3	30.5	2.3	Clinton +25.8
USA Today/SuffolkUSA Today	12/2	12/6	363	LV	5.1	56	29	4	Clinton +27
IBD/TIPPIBD/TIPP	11/30	12/4	345	RV	5.4	51	33	1	Clinton +18
CNN/ORCCNN/ORC	11/27	12/1	403	RV	5.0	58	30	2	Clinton +28
QuinnipiacQuinnipiac	11/23	11/30	573	RV	4.1	60	30	2	Clinton +30
