Poll	Start	End	Trump	Cruz	Carson	Rubio	Bush	Christie	Paul	Kasich	Fiorina	Huckabee	Santorum	Pataki	Graham	Spread
CNN/ORCCNN/ORC	11/18	11/20	--	11	--	10	5	24	15	--	--	--	6	--	--	Christie +9
RasmussenRasmussen	11/7	11/8	--	12	--	16	12	22	20	--	--	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	15	--	10	14	16	16	--	--	--	5	--	--	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	10	--	12	11	13	17	--	--	--	--	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	20	--	10	11	14	17	--	--	--	3	--	--	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	7	--	9	10	17	13	--	--	--	5	--	--	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	--	18	16	21	15	--	--	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	12	--	10	13	13	16	--	--	--	4	--	--	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	--	7	--	12	10	15	9	--	--	--	2	--	--	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	7	--	16	15	15	14	--	--	--	5	--	--	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	--	19	10	14	15	--	--	--	--	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	--	21	12	15	17	--	--	--	5	--	--	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	--	22	13	13	10	--	--	11	--	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	--	21	14	14	5	--	--	15	--	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	--	18	12	14	7	--	--	11	4	--	--	Rubio +4
