Poll	Start	End	Sample	Type	MoE	Clinton	Sanders	O'Malley	Spread
RCP Average	11/15	11/30	NA	--	--	57.8	30.4	3.6	Clinton +27.4
QuinnipiacQuinnipiac	11/23	11/30	573	RV	4.1	60	30	2	Clinton +30
FOX NewsFOX News	11/16	11/19	366	RV	5.0	55	32	3	Clinton +23
ABC/Wash PostABC/WP	11/16	11/19	352	RV	6.0	60	34	3	Clinton +26
PPP (D)PPP (D)	11/16	11/17	538	RV	4.2	59	26	7	Clinton +33
BloombergBloomberg	11/15	11/17	385	RV	5.0	55	30	3	Clinton +25
